Areal Rainfall,obs,month
1976-10,375,10
1976-11,424,11
1976-12,330,12
1977-01,38,1
1977-02,155,2
1977-03,244,3
1977-04,345,4
1977-05,463,5
1977-06,271,6
1977-07,80,7
1977-08,161,8
1977-09,143,9
1977-10,484,10
1977-11,399,11
1977-12,249,12
1978-01,139,1
1978-02,173,2
1978-03,234,3
1978-04,225,4
1978-05,661,5
1978-06,161,6
1978-07,165,7
1978-08,202,8
1978-09,283,9
1978-10,328,10
1978-11,497,11
1978-12,176,12
1979-01,55,1
1979-02,145,2
1979-03,106,3
1979-04,262,4
1979-05,312,5
1979-06,280,6
1979-07,232,7
1979-08,62,8
1979-09,501,9
1979-10,417,10
1979-11,435,11
1979-12,245,12
1980-01,26,1
1980-02,36,2
1980-03,172,3
1980-04,351,4
1980-05,267,5
1980-06,207,6
1980-07,190,7
1980-08,182,8
1980-09,171,9
1980-10,292,10
1980-11,466,11
1980-12,203,12
1981-01,113,1
1981-02,112,2
1981-03,172,3
1981-04,270,4
1981-05,267,5
1981-06,281,6
1981-07,159,7
1981-08,113,8
1981-09,290,9
1981-10,208,10
1981-11,396,11
1981-12,120,12
1982-01,47,1
1982-02,39,2
1982-03,251,3
1982-04,360,4
1982-05,454,5
1982-06,573,6
1982-07,217,7
1982-08,170,8
1982-09,146,9
1982-10,481,10
1982-11,562,11
1982-12,110,12
1983-01,39,1
1983-02,47,2
1983-03,81,3
1983-04,106,4
1983-05,318,5
1983-06,218,6
1983-07,145,7
1983-08,211,8
1983-09,310,9
1983-10,215,10
1983-11,281,11
1983-12,425,12
1984-01,277,1
1984-02,219,2
1984-03,375,3
1984-04,465,4
1984-05,333,5
1984-06,265,6
1984-07,330,7
1984-08,35,8
1984-09,250,9
1984-10,236,10
1984-11,428,11
1984-12,198,12
1985-01,201,1
1985-02,161,2
1985-03,282,3
1985-04,150,4
1985-05,440,5
1985-06,572,6
1985-07,136,7
1985-08,139,8
1985-09,205,9
1985-10,495,10
1985-11,320,11
1985-12,346,12
1986-01,158,1
1986-02,171,2
1986-03,171,3
1986-04,388,4
1986-05,167,5
1986-06,155,6
1986-07,97,7
1986-08,215,8
1986-09,423,9
1986-10,355,10
1986-11,206,11
1986-12,181,12
1987-01,118,1
1987-02,30,2
1987-03,135,3
1987-04,261,4
1987-05,220,5
1987-06,173,6
1987-07,15,7
1987-08,361,8
1987-09,225,9
1987-10,463,10
1987-11,367,11
1987-12,139,12
1988-01,83,1
1988-02,211,2
1988-03,313,3
1988-04,379,4
1988-05,345,5
1988-06,306,6
1988-07,230,7
1988-08,328,8
1988-09,390,9
1988-10,129,10
1988-11,320,11
1988-12,176,12
1989-01,55,1
1989-02,11,2
1989-03,129,3
1989-04,195,4
1989-05,321,5
1989-06,393,6
1989-07,417,7
1989-08,190,8
1989-09,253,9
1989-10,385,10
1989-11,349,11
1989-12,99,12
1990-01,112,1
1990-02,121,2
1990-03,269,3
1990-04,232,4
1990-05,378,5
1990-06,241,6
1990-07,198,7
1990-08,68,8
1990-09,77,9
1990-10,420,10
1990-11,421,11
1990-12,200,12
1991-01,229,1
1991-02,75,2
1991-03,186,3
1991-04,257,4
1991-05,310,5
1991-06,405,6
1991-07,184,7
1991-08,173,8
1991-09,98,9
1991-10,361,10
1991-11,328,11
1991-12,158,12
1992-01,67,1
1992-02,12,2
1992-03,29,3
1992-04,266,4
1992-05,316,5
1992-06,248,6
1992-07,299,7
1992-08,181,8
1992-09,306,9
1992-10,329,10
1992-11,477,11
1992-12,115,12
1993-01,34,1
1993-02,96,2
1993-03,172,3
1993-04,270,4
1993-05,585,5
1993-06,511,6
1993-07,221,7
1993-08,98,8
1993-09,140,9
1993-10,562,10
1993-11,433,11
1993-12,321,12
1994-01,150,1
1994-02,141,2
1994-03,135,3
1994-04,201,4
1994-05,357,5
1994-06,114,6
1994-07,192,7
1994-08,124,8
1994-09,217,9
1994-10,414,10
1994-11,308,11
1994-12,172,12
1995-01,195,1
1995-02,84,2
1995-03,131,3
1995-04,514,4
1995-05,470,5
1995-06,394,6
1995-07,115,7
1995-08,207,8
1995-09,189,9
1995-10,371,10
1995-11,235,11
1995-12,76,12
1996-01,93,1
1996-02,142,2
1996-03,122,3
1996-04,395,4
