Areal Rainfall,obs,month
1980-06,12,6
1980-07,16,7
1980-08,44,8
1980-09,91,9
1980-10,220,10
1980-11,335,11
1980-12,163,12
1981-01,102,1
1981-02,127,2
1981-03,86,3
1981-04,157,4
1981-05,133,5
1981-06,22,6
1981-07,213,7
1981-08,52,8
1981-09,110,9
1981-10,233,10
1981-11,306,11
1981-12,236,12
1982-01,19,1
1982-02,2,2
1982-03,148,3
1982-04,145,4
1982-05,190,5
1982-06,34,6
1982-07,33,7
1982-08,28,8
1982-09,84,9
1982-10,316,10
1982-11,335,11
1982-12,389,12
1983-01,122,1
1983-02,23,2
1983-03,17,3
1983-04,51,4
1983-05,113,5
1983-06,54,6
1983-07,58,7
1983-08,53,8
1983-09,58,9
1983-10,263,10
1983-11,269,11
1983-12,534,12
1984-01,342,1
1984-02,373,2
1984-03,281,3
1984-04,229,4
1984-05,97,5
1984-06,17,6
1984-07,134,7
1984-08,60,8
1984-09,185,9
1984-10,147,10
1984-11,292,11
1984-12,164,12
1985-01,210,1
1985-02,172,2
1985-03,212,3
1985-04,129,4
1985-05,91,5
1985-06,70,6
1985-07,61,7
1985-08,101,8
1985-09,132,9
1985-10,223,10
1985-11,226,11
1985-12,404,12
1986-01,609,1
1986-02,171,2
1986-03,221,3
1986-04,251,4
1986-05,111,5
1986-06,23,6
1986-07,62,7
1986-08,59,8
1986-09,73,9
1986-10,302,10
1986-11,168,11
1986-12,335,12
1987-01,250,1
1987-02,46,2
1987-03,152,3
1987-04,218,4
1987-05,173,5
1987-06,15,6
1987-07,10,7
1987-08,63,8
1987-09,183,9
1987-10,535,10
1987-11,246,11
1987-12,153,12
1988-01,85,1
1988-02,113,2
1988-03,172,3
1988-04,381,4
1988-05,56,5
1988-06,34,6
1988-07,88,7
1988-08,130,8
1988-09,108,9
1988-10,130,10
1988-11,320,11
1988-12,352,12
1989-01,288,1
1989-02,19,2
1989-03,55,3
1989-04,115,4
1989-05,102,5
1989-06,50,6
1989-07,189,7
1989-08,57,8
1989-09,143,9
1989-10,254,10
1989-11,351,11
1989-12,167,12
1990-01,341,1
1990-02,131,2
1990-03,184,3
1990-04,100,4
1990-05,96,5
1990-06,17,6
1990-07,47,7
1990-08,57,8
1990-09,155,9
1990-10,284,10
1990-11,204,11
1990-12,451,12
1991-01,464,1
1991-02,57,2
1991-03,134,3
1991-04,114,4
1991-05,163,5
1991-06,65,6
1991-07,28,7
1991-08,43,8
1991-09,107,9
1991-10,178,10
1991-11,307,11
1991-12,420,12
1992-01,135,1
1992-02,2,2
1992-03,4,3
1992-04,143,4
1992-05,98,5
1992-06,15,6
1992-07,52,7
1992-08,45,8
1992-09,136,9
1992-10,155,10
1992-11,627,11
1992-12,371,12
1993-01,93,1
1993-02,78,2
1993-03,83,3
1993-04,122,4
1993-05,111,5
1993-06,56,6
1993-07,75,7
1993-08,38,8
1993-09,112,9
1993-10,317,10
1993-11,434,11
1993-12,448,12
1994-01,312,1
1994-02,229,2
1994-03,80,3
1994-04,150,4
1994-05,74,5
1994-06,11,6
1994-07,24,7
1994-08,37,8
1994-09,211,9
1994-10,405,10
1994-11,464,11
1994-12,371,12
1995-01,202,1
1995-02,150,2
1995-03,94,3
1995-04,273,4
1995-05,171,5
1995-06,22,6
1995-07,28,7
1995-08,68,8
1995-09,68,9
1995-10,236,10
1995-11,207,11
1995-12,235,12
1996-01,264,1
1996-02,195,2
1996-03,50,3
1996-04,291,4
1996-05,50,5
1996-06,61,6
1996-07,36,7
1996-08,112,8
1996-09,89,9
1996-10,167,10
1996-11,305,11
1996-12,248,12
1997-01,22,1
1997-02,57,2
1997-03,36,3
1997-04,287,4
1997-05,235,5
1997-06,80,6
1997-07,59,7
1997-08,28,8
1997-09,204,9
1997-10,499,10
1997-11,492,11
1997-12,364,12
1998-01,208,1
1998-02,98,2
1998-03,78,3
1998-04,77,4
1998-05,152,5
1998-06,22,6
1998-07,108,7
1998-08,111,8
1998-09,30,9
1998-10,79,10
1998-11,214,11
1998-12,343,12
1999-01,459,1
1999-02,293,2
1999-03,115,3
1999-04,131,4
1999-05,31,5
1999-06,43,6
1999-07,23,7
1999-08,33,8
1999-09,109,9
1999-10,226,10
1999-11,289,11
1999-12,173,12
2000-01,285,1
2000-02,222,2
2000-03,96,3
2000-04,93,4
2000-05,75,5
2000-06,38,6
2000-07,20,7
2000-08,113,8
2000-09,167,9
2000-10,67,10
2000-11,364,11
2000-12,197,12
2001-01,310,1
2001-02,108,2
2001-03,15,3
2001-04,282,4
2001-05,47,5
2001-06,22,6
2001-07,52,7
2001-08,12,8
2001-09,82,9
2001-10,168,10
2001-11,200,11
2001-12,298,12
2002-01,170,1
2002-02,109,2
2002-03,98,3
2002-04,295,4
2002-05,81,5
2002-06,31,6
2002-07,13,7
2002-08,83,8
2002-09,41,9
2002-10,203,10
2002-11,237,11
2002-12,320,12
2003-01,332,1
2003-02,73,2
2003-03,154,3
2003-04,135,4
2003-05,60,5
2003-06,41,6
2003-07,46,7
2003-08,22,8
2003-09,75,9
2003-10,115,10
2003-11,422,11
2003-12,64,12
2004-01,229,1
2004-02,107,2
2004-03,99,3
2004-04,198,4
2004-05,51,5
2004-06,12,6
2004-07,27,7
2004-08,20,8
2004-09,185,9
2004-10,426,10
2004-11,389,11
2004-12,565,12
2005-01,199,1
2005-02,61,2
2005-03,111,3
2005-04,248,4
2005-05,138,5
2005-06,18,6
2005-07,52,7
2005-08,54,8
2005-09,48,9
2005-10,247,10
2005-11,563,11
2005-12,161,12
2006-01,392,1
2006-02,157,2
2006-03,192,3
2006-04,154,4
2006-05,138,5
2006-06,64,6
2006-07,16,7
2006-08,47,8
2006-09,117,9
2006-10,479,10
2006-11,512,11
2006-12,459,12
2007-01,291,1
2007-02,48,2
2007-03,30,3
2007-04,276,4
2007-05,40,5
2007-06,78,6
2007-07,33,7
2007-08,38,8
2007-09,75,9
2007-10,211,10
2007-11,282,11
2007-12,407,12
2008-01,301,1
2008-02,190,2
2008-03,370,3
2008-04,272,4
2008-05,78,5
2008-06,24,6
2008-07,54,7
2008-08,161,8
2008-09,61,9
2008-10,209,10
2008-11,238,11
2008-12,281,12
2009-01,83,1
2009-02,27,2
2009-03,174,3
2009-04,199,4
2009-05,66,5
2009-06,10,6
2009-07,29,7
2009-08,109,8
2009-09,19,9
2009-10,210,10
2009-11,378,11
2009-12,458,12
2010-01,166,1
2010-02,55,2
2010-03,143,3
2010-04,287,4
2010-05,188,5
2010-06,81,6
2010-07,122,7
2010-08,70,8
2010-09,159,9
2010-10,171,10
2010-11,420,11
2010-12,360,12
2011-01,535,1
2011-02,434,2
2011-03,184,3
2011-04,219,4
2011-05,127,5
2011-06,53,6
2011-07,51,7
2011-08,121,8
2011-09,44,9
2011-10,211,10
2011-11,328,11
2011-12,197,12
2012-01,58,1
2012-02,155,2
2012-03,76,3
2012-04,239,4
2012-05,29,5
2012-06,56,6
2012-07,127,7
2012-08,105,8
2012-09,62,9
2012-10,477,10
2012-11,365,11
2012-12,458,12
2013-01,298,1
2013-02,146,2
2013-03,202,3
2013-04,154,4
2013-05,286,5
2013-06,460,6
2013-07,234,7
2013-08,224,8
2013-09,239,9
2013-10,261,10
2013-11,281,11
2013-12,173,12
2014-01,123,1
2014-02,39,2
2014-03,63,3
2014-04,231,4
2014-05,142,5
2014-06,248,6
2014-07,130,7
2014-08,148,8
2014-09,222,9
2014-10,308,10
2014-11,458,11
2014-12,627,12
2015-01,55,1
2015-02,248,2
2015-03,118,3
2015-04,331,4
2015-05,179,5
2015-06,139,6
2015-07,102,7
2015-08,108,8
2015-09,277,9
2015-10,447,10
2015-11,455,11
2015-12,389,12
2016-01,101,1
2016-02,78,2
2016-03,92,3
2016-04,126,4
2016-05,492,5
2016-06,88,6
2016-07,92,7
2016-08,72,8
2016-09,40,9
2016-10,119,10
2016-11,260,11
2016-12,106,12
2017-01,168,1
2017-02,105,2
2017-03,219,3
2017-04,97,4
2017-05,287,5
2017-06,102,6
2017-07,51,7
2017-08,170,8
2017-09,197,9
2017-10,338,10
2017-11,345,11
2017-12,234,12
2018-01,86,1
2018-02,96,2
2018-03,146,3
2018-04,252,4
2018-05,430,5
2018-06,200,6
2018-07,138,7
2018-08,239,8
2018-09,206,9
2018-10,435,10
2018-11,333,11
2018-12,137,12
2019-01,62,1
2019-02,142,2
2019-03,38,3
2019-04,175,4
2019-05,65,5
2019-06,112,6
2019-07,189,7
2019-08,260,8
2019-09,235,9
2019-10,469,10
2019-11,340,11
2019-12,377,12
2020-01,93,1
2020-02,71,2
2020-03,25,3
2020-04,157,4
2020-05,333,5
2020-06,141,6
2020-07,147,7
2020-08,218,8
2020-09,272,9
2020-10,143,10
2020-11,283,11
2020-12,293,12
2021-01,237,1
2021-02,93,2
2021-03,178,3
2021-04,227,4
2021-05,398,5
2021-06,171,6
2021-07,275,7
2021-08,180,8
2021-09,181,9
2021-10,471,10
2021-11,405,11
2021-12,153,12
2022-01,115,1
2022-02,107,2
2022-03,116,3
2022-04,371,4
2022-05,331,5
2022-06,86,6
2022-07,280,7
2022-08,392,8
2022-09,137,9
2022-10,440,10
2022-11,221,11
2022-12,255,12
2023-01,138,1
2023-02,135,2
2023-03,169,3
2023-04,212,4
2023-05,193,5
2023-06,108,6
2023-07,142,7
2023-08,48,8
2023-09,259,9
2023-10,492,10
2023-11,582,11
2023-12,553,12
2024-01,276,1
2024-02,88,2
2024-03,72,3
2024-04,114,4
2024-05,500,5
2024-06,158,6
2024-07,183,7
2024-08,152,8
2024-09,125,9
2024-10,192,10
2024-11,655,11
2024-12,171,12
2025-01,403,1
