Areal Rainfall,obs,month
1980-07,100,7
1980-08,167,8
1980-09,236,9
1980-10,391,10
1980-11,321,11
1980-12,163,12
1981-01,175,1
1981-02,113,2
1981-03,162,3
1981-04,229,4
1981-05,490,5
1981-06,231,6
1981-07,73,7
1981-08,116,8
1981-09,232,9
1981-10,312,10
1981-11,377,11
1981-12,164,12
1982-01,18,1
1982-02,19,2
1982-03,231,3
1982-04,304,4
1982-05,352,5
1982-06,317,6
1982-07,200,7
1982-08,180,8
1982-09,148,9
1982-10,453,10
1982-11,534,11
1982-12,87,12
1983-01,28,1
1983-02,33,2
1983-03,36,3
1983-04,68,4
1983-05,373,5
1983-06,181,6
1983-07,204,7
1983-08,215,8
1983-09,450,9
1983-10,118,10
1983-11,312,11
1983-12,383,12
1984-01,263,1
1984-02,221,2
1984-03,227,3
1984-04,453,4
1984-05,597,5
1984-06,252,6
1984-07,257,7
1984-08,12,8
1984-09,272,9
1984-10,225,10
1984-11,490,11
1984-12,38,12
1985-01,104,1
1985-02,268,2
1985-03,159,3
1985-04,108,4
1985-05,380,5
1985-06,420,6
1985-07,62,7
1985-08,130,8
1985-09,234,9
1985-10,377,10
1985-11,278,11
1985-12,259,12
1986-01,113,1
1986-02,132,2
1986-03,150,3
1986-04,239,4
1986-05,236,5
1986-06,78,6
1986-07,26,7
1986-08,139,8
1986-09,231,9
1986-10,222,10
1986-11,164,11
1986-12,163,12
1987-01,116,1
1987-02,2,2
1987-03,95,3
1987-04,193,4
1987-05,235,5
1987-06,187,6
1987-07,8,7
1987-08,422,8
1987-09,305,9
1987-10,665,10
1987-11,305,11
1987-12,82,12
1988-01,23,1
1988-02,144,2
1988-03,194,3
1988-04,213,4
1988-05,180,5
1988-06,299,6
1988-07,190,7
1988-08,269,8
1988-09,412,9
1988-10,52,10
1988-11,240,11
1988-12,96,12
1989-01,58,1
1989-02,5,2
1989-03,80,3
1989-04,274,4
1989-05,287,5
1989-06,328,6
1989-07,232,7
1989-08,75,8
1989-09,296,9
1989-10,331,10
1989-11,335,11
1989-12,69,12
1990-01,111,1
1990-02,33,2
1990-03,242,3
1990-04,264,4
1990-05,310,5
1990-06,179,6
1990-07,244,7
1990-08,14,8
1990-09,50,9
1990-10,365,10
1990-11,478,11
1990-12,171,12
1991-01,99,1
1991-02,85,2
1991-03,204,3
1991-04,128,4
1991-05,411,5
1991-06,330,6
1991-07,166,7
1991-08,95,8
1991-09,127,9
1991-10,401,10
1991-11,350,11
1991-12,133,12
1992-01,41,1
1992-02,0,2
1992-03,8,3
1992-04,186,4
1992-05,440,5
1992-06,394,6
1992-07,299,7
1992-08,118,8
1992-09,439,9
1992-10,323,10
1992-11,379,11
1992-12,112,12
1993-01,8,1
1993-02,22,2
1993-03,80,3
1993-04,276,4
1993-05,613,5
1993-06,213,6
1993-07,95,7
1993-08,64,8
1993-09,447,9
1993-10,509,10
1993-11,395,11
1993-12,387,12
1994-01,63,1
1994-02,145,2
1994-03,117,3
1994-04,153,4
1994-05,506,5
1994-06,115,6
1994-07,158,7
1994-08,101,8
1994-09,394,9
1994-10,590,10
1994-11,341,11
1994-12,66,12
1995-01,175,1
1995-02,62,2
1995-03,55,3
1995-04,533,4
1995-05,505,5
1995-06,526,6
1995-07,138,7
1995-08,193,8
1995-09,173,9
1995-10,383,10
1995-11,356,11
1995-12,26,12
1996-01,88,1
1996-02,130,2
1996-03,17,3
1996-04,291,4
1996-05,92,5
1996-06,158,6
1996-07,223,7
1996-08,264,8
1996-09,400,9
1996-10,288,10
1996-11,250,11
1996-12,137,12
1997-01,15,1
1997-02,61,2
1997-03,61,3
1997-04,180,4
1997-05,302,5
1997-06,223,6
1997-07,280,7
1997-08,98,8
1997-09,439,9
1997-10,638,10
1997-11,475,11
1997-12,330,12
1998-01,131,1
1998-02,10,2
1998-03,63,3
1998-04,164,4
1998-05,303,5
1998-06,272,6
1998-07,469,7
